task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/archive/20260602-231821-cross-platform-harness-audit,archive,3,False,,planning/archive/20260602-231821-cross-platform-harness-audit/findings.md | planning/archive/20260602-231821-cross-platform-harness-audit/progress.md | planning/archive/20260602-231821-cross-platform-harness-audit/task_plan.md
planning/archive/20260602-231821-cursor-skill-projection-consolidation,archive,3,False,,planning/archive/20260602-231821-cursor-skill-projection-consolidation/findings.md | planning/archive/20260602-231821-cursor-skill-projection-consolidation/progress.md | planning/archive/20260602-231821-cursor-skill-projection-consolidation/task_plan.md
planning/archive/20260602-231821-local-upstream-refresh-dev-worktree,archive,3,False,,planning/archive/20260602-231821-local-upstream-refresh-dev-worktree/findings.md | planning/archive/20260602-231821-local-upstream-refresh-dev-worktree/progress.md | planning/archive/20260602-231821-local-upstream-refresh-dev-worktree/task_plan.md
planning/archive/20260602-231821-post-upstream-automation-followups,archive,3,False,,planning/archive/20260602-231821-post-upstream-automation-followups/findings.md | planning/archive/20260602-231821-post-upstream-automation-followups/progress.md | planning/archive/20260602-231821-post-upstream-automation-followups/task_plan.md
planning/archive/20260602-231821-roadmap-v1.4-safety-overlay-governance,archive,3,False,,planning/archive/20260602-231821-roadmap-v1.4-safety-overlay-governance/findings.md | planning/archive/20260602-231821-roadmap-v1.4-safety-overlay-governance/progress.md | planning/archive/20260602-231821-roadmap-v1.4-safety-overlay-governance/task_plan.md
planning/archive/20260602-231821-subdir-workspace-planning-authority,archive,3,False,,planning/archive/20260602-231821-subdir-workspace-planning-authority/findings.md | planning/archive/20260602-231821-subdir-workspace-planning-authority/progress.md | planning/archive/20260602-231821-subdir-workspace-planning-authority/task_plan.md
planning/archive/20260602-231821-upstream-refresh-6-failure-repair,archive,3,False,,planning/archive/20260602-231821-upstream-refresh-6-failure-repair/findings.md | planning/archive/20260602-231821-upstream-refresh-6-failure-repair/progress.md | planning/archive/20260602-231821-upstream-refresh-6-failure-repair/task_plan.md
planning/archive/20260602-232051-adopt-global-full-local,archive,3,False,,planning/archive/20260602-232051-adopt-global-full-local/findings.md | planning/archive/20260602-232051-adopt-global-full-local/progress.md | planning/archive/20260602-232051-adopt-global-full-local/task_plan.md
planning/archive/20260602-232051-branch-head-sync-latest,archive,3,False,,planning/archive/20260602-232051-branch-head-sync-latest/findings.md | planning/archive/20260602-232051-branch-head-sync-latest/progress.md | planning/archive/20260602-232051-branch-head-sync-latest/task_plan.md
planning/archive/20260602-232051-homepage-cloudflare-worker,archive,3,False,,planning/archive/20260602-232051-homepage-cloudflare-worker/findings.md | planning/archive/20260602-232051-homepage-cloudflare-worker/progress.md | planning/archive/20260602-232051-homepage-cloudflare-worker/task_plan.md
